location.place,location.region,location.country,location.lat,location.lon,current.last_updated_epoch,current.temp_c,current.is_day,current.wind_mph,current.wind_degree,current.pressure_mb,current.precip_mm,current.humidity,current.cloud,current.feelslike_c
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629971100,33.8,1,10.7,276,1005,0,44,47,36.8
Mumbai,Maharashtra,India,18.98,72.83,1629968400,27,1,3.8,10,1005,0.1,89,75,29.5
Chennai,Tamil Nadu,India,13.08,80.28,1629968400,33,1,11.9,130,1002,0,63,50,38.7
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629968400,33.8,1,10.7,276,1005,0,44,47,36.8
Mumbai,Maharashtra,India,18.98,72.83,1629977400,30,1,9.4,260,1004,1.2,70,75,35.5
Chennai,Tamil Nadu,India,13.08,80.28,1629977400,27,1,6.9,260,1002,0,89,75,28.7
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629977400,35.1,1,10.7,278,1003,0,40,25,38.2
Mumbai,Maharashtra,India,18.98,72.83,1629988200,28,0,4.3,220,1004,1.6,79,75,31.4
Chennai,Tamil Nadu,India,13.08,80.28,1629989100,28,0,0,0,1004,0,84,75,31.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629989100,33.1,0,10.3,269,1003,0.1,43,76,35.4
Mumbai,Maharashtra,India,18.98,72.83,1629986400,28,0,3.8,220,1005,1.6,84,50,31.4
Chennai,Tamil Nadu,India,13.08,80.28,1629986400,28,0,0,0,1004,0,84,75,31.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629986400,33.1,0,10.3,269,1003,0.1,43,76,35.4
Mumbai,Maharashtra,India,18.98,72.83,1629990000,28,0,3.8,200,1005,0,84,50,31.5
Chennai,Tamil Nadu,India,13.08,80.28,1629990000,27,0,0,161,1005,0.7,84,50,29.8
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629990000,32.3,0,10.1,275,1004,0,46,64,34.6
Mumbai,Maharashtra,India,18.98,72.83,1629993600,28,0,3.8,170,1005,0,84,50,31.7
Chennai,Tamil Nadu,India,13.08,80.28,1629993600,28,0,0,0,1006,1.7,84,50,32.9
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629993600,31.4,0,10.3,283,1004,0,49,50,33.6
Mumbai,Maharashtra,India,18.98,72.83,1630002600,28,0,5.6,160,1005,0.1,89,50,31.9
Chennai,Tamil Nadu,India,13.08,80.28,1630002600,28,0,3.8,240,1005,0,84,50,32.8
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630002600,28.1,0,14.3,273,1005,0,64,32,30.3
Mumbai,Maharashtra,India,18.98,72.83,1630000800,28,0,3.8,170,1005,0.2,89,50,32
Chennai,Tamil Nadu,India,13.08,80.28,1630000800,28,0,0,189,1004,0.1,84,50,31.5
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630000800,28,0,9.2,262,1005,0.3,65,81,30.2
Mumbai,Maharashtra,India,18.98,72.83,1630026000,27,1,5.6,170,1004,0.2,89,75,30.1
Chennai,Tamil Nadu,India,13.08,80.28,1630026000,26,1,5.6,260,1005,0.2,89,75,28.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630026000,26.6,1,10.7,275,1004,0.2,70,86,28.6
Mumbai,Maharashtra,India,18.98,72.83,1630029600,27,1,5.6,140,1005,1,89,75,30.1
Chennai,Tamil Nadu,India,13.08,80.28,1630029600,27,1,4.3,260,1005,0.6,84,75,29.7
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630029600,26.4,1,9.8,281,1005,1.7,71,51,28.4
Mumbai,Maharashtra,India,18.98,72.83,1630039500,27,1,6.9,310,1006,0.1,84,75,30.1
Chennai,Tamil Nadu,India,13.08,80.28,1630039500,31,1,9.4,260,1005,0,71,50,37.7
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630039500,26.5,1,8.3,276,1006,0.1,70,71,28.5
Mumbai,Maharashtra,India,18.98,72.83,1630046700,30,1,0,0,1005,0.2,79,75,36.2
Chennai,Tamil Nadu,India,13.08,80.28,1630046700,33,1,11.9,260,1004,0,67,50,40.3
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630046700,28,1,11.9,275,1007,0,64,64,30.2
Mumbai,Maharashtra,India,18.98,72.83,1630044000,30,1,0,0,1005,0.2,79,75,36.2
Chennai,Tamil Nadu,India,13.08,80.28,1630044000,33,1,11.9,260,1004,0,67,50,40.3
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630044000,28,1,11.9,275,1007,0,64,64,30.2
Mumbai,Maharashtra,India,18.98,72.83,1630050300,31,1,10.5,260,1005,0.2,66,75,38.3
Chennai,Tamil Nadu,India,13.08,80.28,1630050300,34,1,9.4,290,1003,0,60,50,41.6
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630050300,29,1,11.6,274,1007,0,60,53,31.3
Mumbai,Maharashtra,India,18.98,72.83,1630047600,31,1,10.5,260,1005,0.2,66,75,38.3
Chennai,Tamil Nadu,India,13.08,80.28,1630047600,34,1,9.4,290,1003,0,60,50,41.6
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630047600,29,1,11.6,274,1007,0,60,53,31.3
Mumbai,Maharashtra,India,18.98,72.83,1630057500,30,1,8.1,250,1004,0.1,75,75,34.5
